stores_id;products_id;stock_level;restock_date;store_name;location;product_name;category;price;suppliers_id;supplier_name;contact
81;32;63;02/02/2025;Store that;North Timothyburgh;cost;Home;264;28;Ingram-Thomas;+1-729-398-9079x53003
14;207;77;21/01/2025;Store participant;Jennifershire;south;Home;194;5;Nixon, Bowen and Gonzalez;422.915.9843x9032
73;134;62;09/02/2025;Store Mrs;Lake Charles;entire;Clothing;184;26;Jones-Phillips;302-698-5926x49136
10;281;15;25/01/2025;Store seat;Andrewbury;model;Electronics;289;4;Jordan and Sons;256-697-6328
63;239;57;13/02/2025;Store guess;North Cynthia;brother;Home;492;18;Bennett LLC;+1-370-863-0463x10452
82;40;44;09/02/2025;Store let;Thomasview;data;Home;343;42;Contreras, Jenkins and Hampton;-9192
88;492;6;13/02/2025;Store job;Lake Johnathan;various;Electronics;101;31;Thompson and Sons;(529)338-7709
63;63;48;24/01/2025;Store guess;North Cynthia;much;Home;454;6;Rivera, Cook and Juarez;357.997.5676
92;116;53;17/01/2025;Store rule;Port Franciscoland;thank;Clothing;452;7;Robinson, Norris and Guerrero;620.603.4842
24;6;16;22/02/2025;Store play;New Christophermouth;tree;Electronics;295;10;Greene-Williamson;923-376-9888x414
55;388;48;03/01/2025;Store sound;Lindafort;population;Home;499;29;Bryant, Mcmillan and Santiago;001-401-255-6375
8;391;26;13/01/2025;Store blood;Robertchester;still;Electronics;482;8;Dunn, Francis and Hess;671.460.4059x9044
97;55;76;07/02/2025;Store model;Reginatown;black;Clothing;428;5;Nixon, Bowen and Gonzalez;422.915.9843x9032
33;104;20;11/02/2025;Store us;Hansonburgh;operation;Electronics;376;30;Lopez-Williams;4474499178
65;369;72;05/01/2025;Store late;Kathleenburgh;go;Electronics;300;30;Lopez-Williams;4474499178
83;295;32;13/02/2025;Store agree;East Traci;include;Clothing;189;18;Bennett LLC;+1-370-863-0463x10452
34;246;35;08/02/2025;Store discussion;South Natalietown;require;Home;495;50;Hunter Inc;(599)333-6854
72;361;49;11/02/2025;Store degree;East Kevintown;bill;Home;457;23;Munoz-Jensen;953.293.1000
5;250;56;16/01/2025;Store wish;North Joshuaport;develop;Electronics;83;18;Bennett LLC;+1-370-863-0463x10452
17;182;90;07/01/2025;Store year;Petersport;food;Clothing;345;25;Molina and Sons;(268)868-3795x15836
51;183;27;03/01/2025;Store month;Williamsland;seat;Home;16;2;Pierce-Gonzalez;763-855-6261x70012
12;281;90;21/01/2025;Store most;Millerfort;model;Electronics;289;4;Jordan and Sons;256-697-6328
98;492;1;19/01/2025;Store west;New Benjamin;various;Electronics;101;31;Thompson and Sons;(529)338-7709
14;82;47;21/01/2025;Store participant;Jennifershire;music;Home;82;8;Dunn, Francis and Hess;671.460.4059x9044
11;460;27;16/01/2025;Store real;Gilbertshire;home;Electronics;278;43;Simpson, Carroll and Mckinney;(575)557-1767x230
83;251;28;02/01/2025;Store agree;East Traci;force;Home;328;43;Simpson, Carroll and Mckinney;(575)557-1767x230
42;276;21;16/02/2025;Store left;Frenchberg;require;Home;306;36;Long PLC;001-971-822-3319x60790
76;256;89;24/01/2025;Store often;Brooksmouth;produce;Home;398;9;Gray Inc;966-702-6520
60;61;39;02/02/2025;Store when;Johnsonview;eat;Electronics;366;31;Thompson and Sons;(529)338-7709
61;78;89;18/01/2025;Store adult;Salinastown;human;Clothing;104;14;Velasquez, Walker and Moore;568-622-8788
58;130;73;09/02/2025;Store sea;New Johntown;someone;Home;104;39;Fischer-Jones;+1-599-823-1607x2965
49;440;45;16/01/2025;Store skin;Juliaton;door;Clothing;406;25;Molina and Sons;(268)868-3795x15836
30;30;13;21/01/2025;Store term;South Diane;development;Home;436;24;Roberts-Short;001-508-761-4905
92;207;15;05/02/2025;Store rule;Port Franciscoland;south;Home;194;5;Nixon, Bowen and Gonzalez;422.915.9843x9032
30;458;62;09/01/2025;Store term;South Diane;smile;Home;398;33;Espinoza-Torres;913-569-8543x23300
77;294;51;17/01/2025;Store law;North Donnaton;through;Electronics;294;43;Simpson, Carroll and Mckinney;(575)557-1767x230
37;91;48;31/01/2025;Store authority;Veronicabury;behind;Electronics;59;1;Wood-Johnson;815.793.8750x5252
22;151;96;08/02/2025;Store assume;Bradleyburgh;research;Home;215;34;Webb Group;472-778-9372x6856
26;63;39;31/01/2025;Store enjoy;Ramirezfort;much;Home;454;6;Rivera, Cook and Juarez;357.997.5676
11;5;36;18/01/2025;Store real;Gilbertshire;alone;Electronics;320;10;Greene-Williamson;923-376-9888x414
91;493;22;31/01/2025;Store particularly;Port Josephburgh;listen;Home;473;5;Nixon, Bowen and Gonzalez;422.915.9843x9032
49;292;24;18/01/2025;Store skin;Juliaton;later;Home;248;41;Henry Inc;5546902256
60;309;73;19/02/2025;Store when;Johnsonview;why;Clothing;482;46;Scott, Boyd and Sandoval;+1-737-289-4234x7030
70;303;42;06/01/2025;Store pressure;East Dana;few;Home;99;34;Webb Group;472-778-9372x6856
51;71;51;12/01/2025;Store month;Williamsland;campaign;Electronics;10;41;Henry Inc;5546902256
21;87;71;29/01/2025;Store window;Rojasberg;third;Electronics;105;1;Wood-Johnson;815.793.8750x5252
69;239;77;12/02/2025;Store speak;Martinezshire;brother;Home;492;18;Bennett LLC;+1-370-863-0463x10452
32;178;42;17/02/2025;Store through;Port Michaelstad;environmental;Home;56;15;Greene, Jones and Taylor;223-825-7474
21;59;84;25/01/2025;Store window;Rojasberg;in;Clothing;389;39;Fischer-Jones;+1-599-823-1607x2965
62;352;31;02/01/2025;Store newspaper;West Deborahside;grow;Clothing;441;19;Mason, Sullivan and Bentley;564-301-4492
80;12;67;03/01/2025;Store attention;Heathermouth;part;Home;364;31;Thompson and Sons;(529)338-7709
92;178;12;30/01/2025;Store rule;Port Franciscoland;environmental;Home;56;15;Greene, Jones and Taylor;223-825-7474
76;266;73;20/01/2025;Store often;Brooksmouth;gun;Clothing;464;12;Delgado Group;001-860-422-4987x860
62;275;2;22/02/2025;Store newspaper;West Deborahside;song;Clothing;234;49;Weeks-Bailey;306-512-8519x72408
17;298;50;17/02/2025;Store year;Petersport;land;Clothing;114;15;Greene, Jones and Taylor;223-825-7474
3;170;35;12/01/2025;Store short;Annabury;kitchen;Home;58;20;Shannon-Kramer;729.301.5945x230
87;40;67;18/01/2025;Store pick;Cindychester;data;Home;343;42;Contreras, Jenkins and Hampton;-9192
62;385;14;09/01/2025;Store newspaper;West Deborahside;traditional;Clothing;95;33;Espinoza-Torres;913-569-8543x23300
39;441;65;07/02/2025;Store although;Lisachester;performance;Clothing;190;3;Key Ltd;(840)867-8875
20;170;59;07/01/2025;Store bring;Elizabethchester;kitchen;Home;58;20;Shannon-Kramer;729.301.5945x230
75;295;98;30/01/2025;Store another;North Sarah;include;Clothing;189;18;Bennett LLC;+1-370-863-0463x10452
79;92;7;08/02/2025;Store whether;Mayston;dinner;Home;169;37;Lewis-Norton;576-749-9323
11;289;81;14/02/2025;Store real;Gilbertshire;dark;Electronics;33;41;Henry Inc;5546902256
71;346;92;24/01/2025;Store early;Joneschester;response;Clothing;104;45;Walker-Thompson;894-626-6578
88;437;90;13/02/2025;Store job;Lake Johnathan;gas;Electronics;124;28;Ingram-Thomas;+1-729-398-9079x53003
95;85;39;24/01/2025;Store seek;Heatherside;writer;Electronics;399;44;Wong-Barry;001-625-293-7184x2062
66;142;11;21/02/2025;Store method;West Tammy;knowledge;Electronics;340;10;Greene-Williamson;923-376-9888x414
31;428;93;17/01/2025;Store find;Jessicaberg;benefit;Clothing;86;50;Hunter Inc;(599)333-6854
10;223;1;28/01/2025;Store seat;Andrewbury;painting;Home;302;45;Walker-Thompson;894-626-6578
44;246;84;21/01/2025;Store board;Port Melaniefort;require;Home;495;50;Hunter Inc;(599)333-6854
36;328;35;11/02/2025;Store administration;Gibbsport;dog;Electronics;154;35;Morrow-Huang;001-557-698-8793x234
17;413;93;11/01/2025;Store year;Petersport;best;Clothing;321;15;Greene, Jones and Taylor;223-825-7474
40;466;52;13/01/2025;Store like;Lewisland;week;Electronics;438;13;Hernandez-Stuart;001-919-368-1254
88;177;21;29/01/2025;Store job;Lake Johnathan;big;Clothing;186;36;Long PLC;001-971-822-3319x60790
32;72;26;24/01/2025;Store through;Port Michaelstad;half;Home;296;15;Greene, Jones and Taylor;223-825-7474
58;488;60;23/01/2025;Store sea;New Johntown;culture;Clothing;468;26;Jones-Phillips;302-698-5926x49136
51;408;26;14/01/2025;Store month;Williamsland;activity;Home;424;1;Wood-Johnson;815.793.8750x5252
23;438;16;08/01/2025;Store color;Lake Brianstad;cup;Clothing;168;7;Robinson, Norris and Guerrero;620.603.4842
19;271;16;04/02/2025;Store hit;Nelsonfurt;result;Home;245;13;Hernandez-Stuart;001-919-368-1254
88;253;59;12/01/2025;Store job;Lake Johnathan;brother;Clothing;217;12;Delgado Group;001-860-422-4987x860
98;247;2;29/01/2025;Store west;New Benjamin;commercial;Home;75;33;Espinoza-Torres;913-569-8543x23300
78;245;79;12/02/2025;Store career;Katherineburgh;trade;Home;425;25;Molina and Sons;(268)868-3795x15836
62;378;1;21/02/2025;Store newspaper;West Deborahside;debate;Home;131;9;Gray Inc;966-702-6520
45;483;0;19/01/2025;Store mother;West Mary;record;Home;468;28;Ingram-Thomas;+1-729-398-9079x53003
79;362;82;17/02/2025;Store whether;Mayston;make;Home;493;39;Fischer-Jones;+1-599-823-1607x2965
5;360;48;07/02/2025;Store wish;North Joshuaport;read;Clothing;75;2;Pierce-Gonzalez;763-855-6261x70012
21;167;16;13/01/2025;Store window;Rojasberg;character;Home;319;19;Mason, Sullivan and Bentley;564-301-4492
22;405;99;15/01/2025;Store assume;Bradleyburgh;interesting;Clothing;248;19;Mason, Sullivan and Bentley;564-301-4492
21;73;26;15/02/2025;Store window;Rojasberg;fill;Clothing;320;8;Dunn, Francis and Hess;671.460.4059x9044
98;311;85;06/02/2025;Store west;New Benjamin;build;Clothing;46;32;Abbott PLC;633-551-0723
89;98;81;22/02/2025;Store job;Davidborough;window;Electronics;382;16;Rivera, Miranda and Brooks;7628903892
39;135;78;10/01/2025;Store although;Lisachester;gas;Clothing;23;19;Mason, Sullivan and Bentley;564-301-4492
21;177;0;21/02/2025;Store window;Rojasberg;big;Clothing;186;36;Long PLC;001-971-822-3319x60790
50;449;42;05/01/2025;Store she;Rickberg;build;Electronics;18;22;Mcintyre-Hood;+1-878-937-4979x6829
49;69;31;13/02/2025;Store skin;Juliaton;prevent;Clothing;459;18;Bennett LLC;+1-370-863-0463x10452
2;417;40;14/01/2025;Store left;South Troy;weight;Electronics;246;4;Jordan and Sons;256-697-6328
30;170;47;10/02/2025;Store term;South Diane;kitchen;Home;58;20;Shannon-Kramer;729.301.5945x230
94;404;54;21/01/2025;Store management;Lawsonview;investment;Home;402;17;Huffman-Williams;-10242
25;443;40;08/02/2025;Store help;Mcdonaldshire;imagine;Home;98;1;Wood-Johnson;815.793.8750x5252
72;426;33;20/01/2025;Store degree;East Kevintown;say;Electronics;446;25;Molina and Sons;(268)868-3795x15836
2;295;74;14/01/2025;Store left;South Troy;include;Clothing;189;18;Bennett LLC;+1-370-863-0463x10452
25;251;69;14/02/2025;Store help;Mcdonaldshire;force;Home;328;43;Simpson, Carroll and Mckinney;(575)557-1767x230
4;148;53;16/01/2025;Store maybe;South Allen;west;Home;237;1;Wood-Johnson;815.793.8750x5252
65;21;94;14/01/2025;Store late;Kathleenburgh;present;Electronics;425;24;Roberts-Short;001-508-761-4905
88;101;86;04/01/2025;Store job;Lake Johnathan;friend;Clothing;272;49;Weeks-Bailey;306-512-8519x72408
31;134;28;04/02/2025;Store find;Jessicaberg;entire;Clothing;184;26;Jones-Phillips;302-698-5926x49136
17;378;78;09/01/2025;Store year;Petersport;debate;Home;131;9;Gray Inc;966-702-6520
82;122;54;19/01/2025;Store let;Thomasview;land;Home;356;44;Wong-Barry;001-625-293-7184x2062
17;69;40;05/02/2025;Store year;Petersport;prevent;Clothing;459;18;Bennett LLC;+1-370-863-0463x10452
67;316;42;19/02/2025;Store boy;West Jonathan;better;Electronics;10;3;Key Ltd;(840)867-8875
61;394;16;14/02/2025;Store adult;Salinastown;total;Clothing;180;47;Sanders, Evans and Villarreal;7353466005
67;31;0;01/02/2025;Store boy;West Jonathan;box;Home;377;36;Long PLC;001-971-822-3319x60790
11;34;19;23/01/2025;Store real;Gilbertshire;head;Clothing;212;49;Weeks-Bailey;306-512-8519x72408
4;130;76;17/01/2025;Store maybe;South Allen;someone;Home;104;39;Fischer-Jones;+1-599-823-1607x2965
5;340;4;06/01/2025;Store wish;North Joshuaport;similar;Home;426;4;Jordan and Sons;256-697-6328
3;226;16;09/01/2025;Store short;Annabury;I;Home;375;8;Dunn, Francis and Hess;671.460.4059x9044
68;183;13;08/02/2025;Store back;North Wayne;seat;Home;16;2;Pierce-Gonzalez;763-855-6261x70012
50;297;93;03/01/2025;Store she;Rickberg;pass;Clothing;437;35;Morrow-Huang;001-557-698-8793x234
89;23;24;05/02/2025;Store job;Davidborough;along;Electronics;311;38;Lyons Group;5566059863
25;488;89;28/01/2025;Store help;Mcdonaldshire;culture;Clothing;468;26;Jones-Phillips;302-698-5926x49136
79;368;10;22/01/2025;Store whether;Mayston;food;Clothing;225;45;Walker-Thompson;894-626-6578
49;275;23;02/02/2025;Store skin;Juliaton;song;Clothing;234;49;Weeks-Bailey;306-512-8519x72408
6;380;67;15/01/2025;Store probably;New Jennifer;commercial;Electronics;142;37;Lewis-Norton;576-749-9323
63;317;59;28/01/2025;Store guess;North Cynthia;benefit;Clothing;403;26;Jones-Phillips;302-698-5926x49136
8;107;29;12/02/2025;Store blood;Robertchester;as;Home;302;41;Henry Inc;5546902256
43;28;2;17/01/2025;Store within;Gibsonland;far;Home;417;36;Long PLC;001-971-822-3319x60790
16;496;40;28/01/2025;Store front;Buckland;enter;Clothing;294;7;Robinson, Norris and Guerrero;620.603.4842
8;142;64;05/01/2025;Store blood;Robertchester;knowledge;Electronics;340;10;Greene-Williamson;923-376-9888x414
28;141;87;31/01/2025;Store per;East Carla;teach;Home;446;5;Nixon, Bowen and Gonzalez;422.915.9843x9032
23;103;73;25/01/2025;Store color;Lake Brianstad;star;Home;250;45;Walker-Thompson;894-626-6578
80;447;68;08/01/2025;Store attention;Heathermouth;game;Electronics;145;16;Rivera, Miranda and Brooks;7628903892
75;113;79;09/02/2025;Store another;North Sarah;claim;Home;463;20;Shannon-Kramer;729.301.5945x230
16;309;40;29/01/2025;Store front;Buckland;why;Clothing;482;46;Scott, Boyd and Sandoval;+1-737-289-4234x7030
5;398;63;03/01/2025;Store wish;North Joshuaport;government;Home;251;28;Ingram-Thomas;+1-729-398-9079x53003
75;429;45;16/02/2025;Store another;North Sarah;them;Clothing;455;38;Lyons Group;5566059863
66;244;25;12/02/2025;Store method;West Tammy;east;Electronics;436;3;Key Ltd;(840)867-8875
98;142;54;26/01/2025;Store west;New Benjamin;knowledge;Electronics;340;10;Greene-Williamson;923-376-9888x414
36;189;51;13/02/2025;Store administration;Gibbsport;young;Home;165;29;Bryant, Mcmillan and Santiago;001-401-255-6375
37;94;56;24/01/2025;Store authority;Veronicabury;during;Home;485;12;Delgado Group;001-860-422-4987x860
72;495;22;21/01/2025;Store degree;East Kevintown;society;Electronics;472;24;Roberts-Short;001-508-761-4905
90;53;5;20/02/2025;Store expert;Nicoleview;think;Clothing;334;4;Jordan and Sons;256-697-6328
39;89;74;15/01/2025;Store although;Lisachester;recent;Electronics;269;3;Key Ltd;(840)867-8875
60;235;44;22/01/2025;Store when;Johnsonview;whether;Clothing;94;11;Farley Group;+1-910-472-7927x08726
12;156;66;07/02/2025;Store most;Millerfort;never;Clothing;459;2;Pierce-Gonzalez;763-855-6261x70012
22;312;48;22/02/2025;Store assume;Bradleyburgh;responsibility;Home;350;28;Ingram-Thomas;+1-729-398-9079x53003
41;470;43;21/01/2025;Store president;West Brianside;agreement;Clothing;441;18;Bennett LLC;+1-370-863-0463x10452
4;87;61;21/02/2025;Store maybe;South Allen;third;Electronics;105;1;Wood-Johnson;815.793.8750x5252
89;422;33;25/01/2025;Store job;Davidborough;list;Home;407;9;Gray Inc;966-702-6520
100;51;86;15/01/2025;Store eye;Lake Danielleport;see;Clothing;62;48;Allen Inc;4247038226
2;255;96;19/02/2025;Store left;South Troy;push;Electronics;447;27;Molina Inc;261-790-3667x98009
85;112;96;09/01/2025;Store officer;Port Jasonburgh;clearly;Electronics;15;8;Dunn, Francis and Hess;671.460.4059x9044
61;264;38;01/01/2025;Store adult;Salinastown;finally;Clothing;214;14;Velasquez, Walker and Moore;568-622-8788
93;161;79;28/01/2025;Store alone;Hillberg;travel;Home;72;39;Fischer-Jones;+1-599-823-1607x2965
95;450;0;29/01/2025;Store seek;Heatherside;serious;Home;454;44;Wong-Barry;001-625-293-7184x2062
14;448;28;13/02/2025;Store participant;Jennifershire;bit;Electronics;384;20;Shannon-Kramer;729.301.5945x230
43;69;22;09/01/2025;Store within;Gibsonland;prevent;Clothing;459;18;Bennett LLC;+1-370-863-0463x10452
51;140;71;07/01/2025;Store month;Williamsland;huge;Home;318;17;Huffman-Williams;-10242
19;189;78;28/01/2025;Store hit;Nelsonfurt;young;Home;165;29;Bryant, Mcmillan and Santiago;001-401-255-6375
98;70;56;12/01/2025;Store west;New Benjamin;sea;Home;429;22;Mcintyre-Hood;+1-878-937-4979x6829
63;123;28;18/01/2025;Store guess;North Cynthia;check;Home;264;49;Weeks-Bailey;306-512-8519x72408
85;291;85;03/02/2025;Store officer;Port Jasonburgh;dark;Electronics;113;8;Dunn, Francis and Hess;671.460.4059x9044
1;228;30;30/01/2025;Store good;West Brandy;check;Clothing;81;10;Greene-Williamson;923-376-9888x414
78;369;60;09/02/2025;Store career;Katherineburgh;go;Electronics;300;30;Lopez-Williams;4474499178
66;384;2;17/02/2025;Store method;West Tammy;second;Home;216;35;Morrow-Huang;001-557-698-8793x234
33;442;91;22/01/2025;Store us;Hansonburgh;event;Electronics;36;39;Fischer-Jones;+1-599-823-1607x2965
32;117;67;02/02/2025;Store through;Port Michaelstad;close;Clothing;5;10;Greene-Williamson;923-376-9888x414
43;95;41;02/01/2025;Store within;Gibsonland;leg;Clothing;88;50;Hunter Inc;(599)333-6854
